id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
20040,23046.0,postpone,cancelled,,5.0,Postpone Cash Request 23046,30/10/2020,30/10/2020,,05/11/2020,27/11/2020,
15119,22422.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22422,20/10/2020,20/10/2020,17/11/2020,,,
9898,18386.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 18386,29/09/2020,13/10/2020,21/12/2020,,,
17482,24420.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24420,25/10/2020,25/10/2020,25/11/2020,,,
18648,25226.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25226,27/10/2020,27/10/2020,09/11/2020,,,
20282,18969.0,postpone,cancelled,,5.0,Postpone Cash Request 18969,30/10/2020,30/10/2020,,30/10/2020,09/11/2020,
20449,22960.0,postpone,cancelled,,5.0,Postpone Cash Request 22960,30/10/2020,30/10/2020,,05/11/2020,05/12/2020,
19152,25150.0,postpone,accepted,,5.0,Postpone Cash Request 25150,28/10/2020,28/10/2020,28/10/2020,04/11/2020,10/11/2020,
14581,21999.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21999,18/10/2020,18/10/2020,29/10/2020,,,
7908,16408.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 16408,16/09/2020,13/10/2020,06/10/2020,,,
16411,23480.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23480,23/10/2020,23/10/2020,02/11/2020,,,
15570,22815.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22815,21/10/2020,21/10/2020,02/11/2020,,,
13848,14888.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,15/10/2020,15/10/2020,05/11/2020,,,
13216,20166.0,postpone,cancelled,,5.0,Postpone Cash Request 20166,13/10/2020,13/10/2020,,,09/11/2020,
16004,23123.0,instant_payment,rejected,,5.0,Instant Payment Cash Request 23123,22/10/2020,22/10/2020,06/11/2020,,,
14878,22218.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22218,19/10/2020,19/10/2020,09/11/2020,,,
10105,18587.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 18587,30/09/2020,13/10/2020,05/11/2020,,,
20841,15069.0,postpone,cancelled,,5.0,Postpone Cash Request 15069,31/10/2020,31/10/2020,,30/10/2020,29/11/2020,
17138,24159.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24159,24/10/2020,24/10/2020,03/11/2020,,,
19371,25805.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25805,28/10/2020,28/10/2020,05/11/2020,,,
9880,17689.0,postpone,cancelled,,5.0,Postpone Cash Request 17689,29/09/2020,13/10/2020,,08/10/2020,28/10/2020,
2983,3183.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,06/08/2020,13/10/2020,29/10/2020,,,
20041,20115.0,postpone,cancelled,,5.0,Postpone Cash Request 20115,30/10/2020,30/10/2020,,28/10/2020,02/11/2020,
21026,26799.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26799,01/11/2020,01/11/2020,27/11/2020,,,
15571,22816.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22816,21/10/2020,21/10/2020,05/11/2020,,,
14582,19191.0,postpone,accepted,,5.0,Postpone Cash Request 19191,18/10/2020,18/10/2020,18/10/2020,19/10/2020,23/10/2020,
16412,23481.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23481,23/10/2020,23/10/2020,12/12/2020,,,
18279,24906.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24906,27/10/2020,27/10/2020,06/11/2020,,,
18339,24956.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24956,27/10/2020,27/10/2020,05/11/2020,,,
20283,22598.0,postpone,cancelled,,5.0,Postpone Cash Request 22598,30/10/2020,30/10/2020,,03/11/2020,04/11/2020,
18062,18713.0,postpone,accepted,,5.0,Postpone Cash Request 18713,26/10/2020,26/10/2020,26/10/2020,28/10/2020,31/10/2020,
1805,2856.0,incident,rejected,rejected_direct_debit,5.0,rejected direct debit,22/07/2020,13/10/2020,06/08/2020,,,
3088,11376.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 11376,07/08/2020,13/10/2020,06/11/2020,,,
19153,25609.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25609,28/10/2020,28/10/2020,22/11/2020,,,
18649,18091.0,postpone,cancelled,,5.0,Postpone Cash Request 18091,27/10/2020,27/10/2020,,06/11/2020,05/12/2020,
13618,21224.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21224,15/10/2020,15/10/2020,28/10/2020,,,
20450,22960.0,postpone,cancelled,,5.0,Postpone Cash Request 22960,30/10/2020,30/10/2020,,05/11/2020,05/12/2020,
19847,25255.0,postpone,accepted,,5.0,Postpone Cash Request 25255,29/10/2020,29/10/2020,29/10/2020,09/11/2020,10/11/2020,
17483,24422.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24422,25/10/2020,25/10/2020,27/11/2020,,,
6152,14597.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 14597,05/09/2020,13/10/2020,02/11/2020,,,
13849,14597.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,15/10/2020,15/10/2020,02/11/2020,,,
20631,26121.0,postpone,cancelled,,5.0,Postpone Cash Request 26121,31/10/2020,31/10/2020,,05/11/2020,06/11/2020,
15120,22423.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22423,20/10/2020,20/10/2020,01/11/2020,,,
17717,24555.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24555,26/10/2020,26/10/2020,07/11/2020,,,
13388,21052.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21052,14/10/2020,14/10/2020,03/11/2020,,,
14098,21660.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21660,16/10/2020,16/10/2020,05/11/2020,,,
8019,16519.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 16519,17/09/2020,13/10/2020,14/10/2020,,,
13389,17426.0,postpone,cancelled,,5.0,Postpone Cash Request 17426,14/10/2020,14/10/2020,,29/10/2020,02/11/2020,
13619,21225.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21225,15/10/2020,15/10/2020,05/11/2020,,,
11492,2738.0,incident,accepted,month_delay_on_payment,5.0,month delay on payment - 10/2020,07/10/2020,13/10/2020,31/12/2020,,,
14333,21804.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21804,17/10/2020,17/10/2020,14/11/2020,,,
17484,24423.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24423,25/10/2020,25/10/2020,06/11/2020,,,
20632,24697.0,postpone,cancelled,,5.0,Postpone Cash Request 24697,31/10/2020,31/10/2020,,05/11/2020,06/11/2020,
18650,25227.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25227,27/10/2020,27/10/2020,09/11/2020,,,
7975,11549.0,postpone,accepted,,5.0,Postpone Cash Request 11549,16/09/2020,13/10/2020,16/09/2020,27/09/2020,27/10/2020,
14099,19565.0,postpone,cancelled,,5.0,Postpone Cash Request 19565,16/10/2020,16/10/2020,,02/11/2020,15/11/2020,
17718,24556.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24556,26/10/2020,26/10/2020,06/01/2021,,,
15572,22319.0,postpone,cancelled,,5.0,Postpone Cash Request 22319,21/10/2020,21/10/2020,,05/11/2020,29/11/2020,
14879,22219.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22219,19/10/2020,19/10/2020,06/01/2021,,,
18063,18910.0,postpone,cancelled,,5.0,Postpone Cash Request 18910,26/10/2020,26/10/2020,,02/11/2020,02/12/2020,
20842,26820.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26820,31/10/2020,31/10/2020,15/11/2020,,,
16005,23124.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23124,22/10/2020,22/10/2020,05/11/2020,,,
19848,26186.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26186,29/10/2020,29/10/2020,05/12/2020,,,
16413,22000.0,postpone,cancelled,,5.0,Postpone Cash Request 22000,23/10/2020,23/10/2020,,28/10/2020,27/11/2020,
20042,26305.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26305,30/10/2020,30/10/2020,06/11/2020,,,
19154,25610.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25610,28/10/2020,28/10/2020,27/11/2020,,,
17139,24160.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24160,24/10/2020,24/10/2020,07/11/2020,,,
21027,26812.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26812,01/11/2020,01/11/2020,29/11/2020,,,
19601,25977.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25977,29/10/2020,29/10/2020,05/11/2020,,,
19372,25807.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25807,28/10/2020,28/10/2020,05/11/2020,,,
20284,17427.0,postpone,accepted,,5.0,Postpone Cash Request 17427,30/10/2020,30/10/2020,30/10/2020,30/10/2020,29/11/2020,
20451,20688.0,postpone,cancelled,,5.0,Postpone Cash Request 20688,30/10/2020,30/10/2020,,29/10/2020,31/10/2020,
14583,22000.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22000,18/10/2020,18/10/2020,04/11/2020,,,
13218,16876.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,13/10/2020,13/10/2020,13/10/2020,,,
13390,21053.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21053,14/10/2020,14/10/2020,10/11/2020,,,
13620,18405.0,postpone,cancelled,,5.0,Postpone Cash Request 18405,15/10/2020,15/10/2020,,13/10/2020,05/11/2020,
15122,22425.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22425,20/10/2020,20/10/2020,11/12/2020,,,
20285,26443.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26443,30/10/2020,30/10/2020,03/12/2020,,,
14100,19565.0,postpone,cancelled,,5.0,Postpone Cash Request 19565,16/10/2020,16/10/2020,,02/11/2020,15/11/2020,
14334,21805.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21805,17/10/2020,17/10/2020,06/11/2020,,,
14584,22001.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22001,18/10/2020,18/10/2020,05/11/2020,,,
15841,22973.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22973,22/10/2020,22/10/2020,06/11/2020,,,
3467,5809.0,incident,rejected,rejected_direct_debit,5.0,rejected direct debit,11/08/2020,13/10/2020,08/12/2020,,,
18341,24959.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24959,27/10/2020,27/10/2020,04/12/2020,,,
16414,22000.0,postpone,cancelled,,5.0,Postpone Cash Request 22000,23/10/2020,23/10/2020,,28/10/2020,12/11/2020,
17719,18730.0,postpone,accepted,,5.0,Postpone Cash Request 18730,26/10/2020,26/10/2020,26/10/2020,02/11/2020,30/11/2020,
8023,16525.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 16525,17/09/2020,13/10/2020,24/10/2020,,,
21028,26883.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26883,01/11/2020,01/11/2020,16/11/2020,,,
18064,20734.0,postpone,accepted,,5.0,Postpone Cash Request 20734,26/10/2020,26/10/2020,26/10/2020,02/11/2020,10/11/2020,
20843,26821.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26821,31/10/2020,31/10/2020,06/12/2020,,,
20452,26505.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26505,30/10/2020,30/10/2020,17/11/2020,,,
18651,20032.0,postpone,cancelled,,5.0,Postpone Cash Request 20032,27/10/2020,27/10/2020,,30/10/2020,06/11/2020,
13851,16744.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,15/10/2020,15/10/2020,10/12/2020,,,
19155,25613.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25613,28/10/2020,28/10/2020,27/11/2020,,,
13180,20708.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20708,13/10/2020,13/10/2020,07/11/2020,,,
19849,21876.0,postpone,cancelled,,5.0,Postpone Cash Request 21876,29/10/2020,29/10/2020,,05/11/2020,04/12/2020,
15573,22817.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22817,21/10/2020,21/10/2020,04/11/2020,,,
20043,22821.0,postpone,accepted,,5.0,Postpone Cash Request 22821,30/10/2020,30/10/2020,30/10/2020,02/11/2020,03/11/2020,
20633,24697.0,postpone,cancelled,,5.0,Postpone Cash Request 24697,31/10/2020,31/10/2020,,05/11/2020,06/11/2020,
14880,22220.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22220,19/10/2020,19/10/2020,03/11/2020,,,
19373,23349.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23349,28/10/2020,28/10/2020,03/11/2020,,,
11855,19725.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 19725,08/10/2020,13/10/2020,06/11/2020,,,
8060,16556.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 16556,17/09/2020,13/10/2020,07/10/2020,,,
20044,23676.0,postpone,cancelled,,5.0,Postpone Cash Request 23676,30/10/2020,30/10/2020,,,13/11/2020,
14227,15433.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,17/10/2020,09/12/2020,07/12/2020,,,
13391,20235.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 20235,14/10/2020,14/10/2020,06/11/2020,,,
13621,18405.0,postpone,cancelled,,5.0,Postpone Cash Request 18405,15/10/2020,15/10/2020,,13/10/2020,05/11/2020,
14585,17463.0,postpone,cancelled,,5.0,Postpone Cash Request 17463,18/10/2020,18/10/2020,,05/11/2020,29/11/2020,
14101,21264.0,postpone,cancelled,,5.0,Postpone Cash Request 21264,16/10/2020,16/10/2020,,02/11/2020,02/12/2020,
17720,24557.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24557,26/10/2020,26/10/2020,20/11/2020,,,
12563,6610.0,incident,accepted,month_delay_on_payment,5.0,month delay on payment - 9/2020,10/10/2020,13/10/2020,14/11/2020,,,
13219,14976.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,13/10/2020,13/10/2020,20/10/2020,,,
4811,13564.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 13564,22/08/2020,13/10/2020,30/11/2020,,,
14881,22221.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22221,19/10/2020,19/10/2020,12/11/2020,,,
18065,21492.0,postpone,cancelled,,5.0,Postpone Cash Request 21492,26/10/2020,26/10/2020,,27/10/2020,25/11/2020,
