id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
6896,100.0,money_back,07/07/2020,18/12/2020,24489.0,07/07/2020,,,09/07/2020,,regular,,,,
7391,100.0,money_back,09/07/2020,18/12/2020,9489.0,10/07/2020,,,10/07/2020,,regular,,,,
12900,50.0,money_back,18/08/2020,18/12/2020,17098.0,18/08/2020,,,19/08/2020,10/09/2020,instant,25/08/2020,completed,09/09/2020,10/09/2020
7001,100.0,money_back,07/07/2020,18/12/2020,13768.0,08/07/2020,,,09/07/2020,,regular,,,,
7785,100.0,money_back,13/07/2020,18/12/2020,7922.0,13/07/2020,,,15/07/2020,,regular,,,,
4786,100.0,money_back,23/06/2020,18/12/2020,5830.0,23/06/2020,,,24/06/2020,,regular,,,,
2706,100.0,money_back,08/06/2020,18/12/2020,11297.0,08/06/2020,,,09/06/2020,10/07/2020,regular,,completed,09/07/2020,10/07/2020
7099,100.0,money_back,08/07/2020,18/12/2020,14918.0,08/07/2020,,06/08/2020,09/07/2020,,regular,,,,
4050,100.0,money_back,18/06/2020,18/12/2020,16986.0,19/06/2020,,,23/06/2020,,regular,,,,
4979,50.0,money_back,24/06/2020,18/12/2020,19521.0,24/06/2020,,,27/06/2020,07/07/2020,regular,,,,
14608,50.0,money_back,05/09/2020,18/12/2020,37078.0,05/09/2020,,,14/09/2020,05/10/2020,regular,12/09/2020,,,
8490,100.0,money_back,16/07/2020,18/12/2020,18550.0,17/07/2020,,,20/07/2020,27/07/2020,regular,,,,
6553,100.0,money_back,04/07/2020,18/12/2020,7281.0,04/07/2020,,,07/07/2020,,regular,,,,
18506,100.0,money_back,30/09/2020,18/12/2020,54516.0,30/09/2020,,,01/10/2020,05/11/2020,instant,07/10/2020,,,
7904,100.0,money_back,14/07/2020,18/12/2020,26751.0,14/07/2020,,,18/07/2020,,regular,,,,
14350,100.0,money_back,03/09/2020,18/12/2020,18591.0,,,,05/09/2020,30/09/2020,instant,10/09/2020,,,
6897,100.0,money_back,07/07/2020,18/12/2020,29760.0,07/07/2020,,22/07/2020,09/07/2020,,regular,,,,
